Item,Category, Calories, Fat (g), Carb. (g), Fiber (g), Protein (g)
Chonga Bagel,Food,300,5,50,3,12
8-Grain Roll,Food,380,6,70,7,10
Almond Croissant,Food,410,22,45,3,10
Apple Fritter,Food,460,23,56,2,7
Banana Nut Bread,Food,420,22,52,2,6
Blueberry Muffin with Yogurt and Honey,Food,380,16,53,1,6
Blueberry Scone,Food,420,17,61,2,5
Butter Croissant,Food,240,12,28,1,5
Butterfly Cookie,Food,350,22,38,0,2
Cheese Danish,Food,320,16,36,1,8
Chewy Chocolate Cookie,Food,170,5,30,2,2
Chocolate Chip Cookie,Food,310,15,42,2,4
Chocolate Chunk Muffin,Food,440,21,60,2,7
Chocolate Croissant,Food,330,18,38,1,6
Chocolate Hazelnut Croissant,Food,390,22,43,2,7
Chocolate Marble Loaf Cake,Food,490,24,64,2,6
Cinnamon Morning Bun,Food,390,15,56,2,8
Cinnamon Raisin Bagel,Food,270,1,58,3,9
Classic Coffee Cake,Food,390,16,57,1,5
Cookie Butter Bar,Food,360,23,36,0,2
Cranberry Orange Scone,Food,420,15,64,1,6
Devil's Food Doughnut,Food,430,23,53,2,5
Double Chocolate Brownie,Food,410,24,46,3,6
Double Chocolate Chunk Brownie,Food,490,28,55,3,7
Double Chocolate Loaf Cake,Food,440,23,54,3,5
Everybody's Favorite - Bantam Bagel (2 Pack),Food,100,3.5,14,0,3
Everything Bagel with Cheese,Food,290,3.5,53,2,11
Frappuccino® Cookie Straw,Food,90,3,14,0,1
French Toast - Bantam Bagels (2 Pack),Food,200,8,30,0,6
Gluten-Free Marshmallow Dream Bar,Food,240,5,45,0,2
Ice Cream Cone Sugar Cookie,Food,250,14,29,1,3
Iced Lemon Pound Cake,Food,470,20,68,1,6
Michigan Cherry Oat Bar,Food,310,10,47,2,3
Multigrain Bagel,Food,350,4,64,8,17
Oatmeal Cookie,Food,290,12,40,3,5
Octopus Cookie,Food,330,18,39,1,3
Old-Fashioned Glazed Doughnut,Food,480,27,56,1,5
Peanut butter cup cookie,Food,360,21,36,3,8
Pecan Tart,Food,330,18,39,1,4
Petite Vanilla Bean Scone,Food,120,4.5,18,0,2
Plain Bagel,Food,280,1.5,56,2,9
Pumpkin Bread,Food,410,15,63,2,6
Raspberry Swirl Loaf Cake,Food,420,17,61,1,6
Raspberry Whoopie Pie,Food,360,18,45,1,3
Reduced-Fat Cinnamon Swirl Coffee Cake,Food,370,9,67,2,5
S'mores Bar,Food,330,17,44,1,2
S'mores Bar Multipack,Food,330,17,44,1,2
Sprouted Grain Vegan Bagel,Food,330,6,57,7,12
Strawberry Cake Pop,Food,180,9,23,0,2
The Classic - Bantam Bagels (2 Pack),Food,200,8,28,0,6
Toffeedoodle,Food,300,13,44,1,3
Vanilla Bean Whoopie Pie,Food,360,18,45,1,3
Vermont Maple Walnut Muffin,Food,390,21,45,2,6
Volpi™ Pepperoni & Tomato Savory Foldover,Food,270,14,27,2,10
Strawberries & Jam Sandwich,Food,600,25,80,10,19
Burrata & Basil Pesto Small Sandwich,Food,300,14,34,2,11
Cage-Free Eggs & Seasoned Grains Side Salad,Food,360,18,33,3,17
Cauliflower Tabbouleh Side Salad,Food,130,12,7,3,2
Cubano Sandwich,Food,430,23,34,3,21
Farmers' Market Protein Box,Food,470,29,29,4,21
Garden Greens & Shaved Parmesan Side Salad,Food,170,13,9,2,7
Green Goddess Avocado Salad,Food,620,37,62,10,13
Herbed Chicken & Fig Spread Small Sandwich,Food,300,8,43,2,19
Honey BBQ Sriracha Chicken Sandwich,Food,360,7,52,3,22
Roasted Carrot & Kale Side Salad,Food,440,26,44,7,10
